fy,title,title_url,original_solicitation,original_solicitation_url,recipient,state,award_number,amount,status
2023,"A randomized controlled trial of Co-response for Mental Health Calls for Service to the Police in Fort Collins, CO",https://nij.ojp.gov/funding/awards/15pnij-23-gg-05502-ress,"NIJ FY23 Research and Evaluation on Policing Practices, Accountability Mechanisms, and Alternatives",https://nij.ojp.gov/funding/opportunities/o-nij-2023-171675,UNIVERSITY OF WYOMING,WY,15PNIJ-23-GG-05502-RESS,"$649,464",Open
2023,A Randomized Controlled Trial of the HeartMath Resilience Program: Exploring the Impact of Stress on Jail Staff Performance and Retention,https://nij.ojp.gov/funding/awards/15pnij-23-gg-02231-nijb,NIJ FY23 Research and Evaluation on Jails,https://nij.ojp.gov/funding/opportunities/o-nij-2023-171613,FLORIDA STATE UNIVERSITY,FL,15PNIJ-23-GG-02231-NIJB,"$498,491",Open
2023,A Statewide Mixed-methods Evaluation of Pennsylvania’s 8th Edition Sentencing Guidelines and their Impacts on Racial and Ethnic Disparities in Sentencing Outcomes,https://nij.ojp.gov/funding/awards/15pnij-23-gg-01365-nijb,NIJ FY23 W.E.B. Du Bois Program of Research on Reducing Racial and Ethnic Disparities in the Justice System,https://nij.ojp.gov/funding/opportunities/o-nij-2023-171519,DREXEL UNIVERSITY,PA,15PNIJ-23-GG-01365-NIJB,"$730,834",Open
2023,"A Whole Community Approach to Hate Crime Reduction: Research to Improve Prevention, Reporting, and Victim Support",https://nij.ojp.gov/funding/awards/15pnij-23-gg-05495-hate,NIJ FY23 Research and Evaluation on Hate Crimes,https://nij.ojp.gov/funding/opportunities/o-nij-2023-171634,RESEARCH FOUNDATION OF THE CITY UNIVERSITY OF NEW YORK,NY,15PNIJ-23-GG-05495-HATE,"$665,999",Open
2023,AAAS Science & Technology Policy Fellowships,https://nij.ojp.gov/funding/awards/2020-r2-cx-0009/3,,,AMERICAN ASSOCIATION FOR THE ADVANCEMENT OF SCIENCE,DC,2020-R2-CX-0009,"$300,000",Open
2023,ABCD Social Development (ABCD-SD),https://nij.ojp.gov/funding/awards/2017-mu-cx-0044/6,,,UNIVERSITY OF PITTSBURGH - OF THE COMMONWEALTH SYSTEM OF HIGHER EDUCATION,PA,2017-MU-CX-0044,"$1,900,000",Open
2023,"Accuracy, Efficacy, and Reproducibility of Muzzle-to-Target Distance Determination using Gunshot Residue",https://nij.ojp.gov/funding/awards/15pnij-23-gg-04222-mumu,NIJ FY23 Research and Development in Forensic Science for Criminal Justice Purposes,https://nij.ojp.gov/funding/opportunities/o-nij-2023-171606,"NOBLIS, INC.",VA,15PNIJ-23-GG-04222-MUMU,"$872,282",Open
2023,Accurate THC Determinations in Seized Cannabis-derived Finished Products for Forensic Laboratories,https://nij.ojp.gov/funding/awards/djo-nij-22-ro-0002/1,"Research  and Development in Forensic Science for Criminal Justice Purposes, Fiscal Year 2021",https://nij.ojp.gov/funding/opportunities/o-nij-2021-95001,National Institute of Standards and Technology,,DJO-NIJ-22-RO-0002,"$400,000",Open
2023,An Assessment of Dual System Data and Practices Capacity across Juvenile Justice and Child Welfare Systems,https://nij.ojp.gov/funding/awards/15pnij-23-gg-02411-titl,NIJ FY23 Research on Juvenile Justice Topics,https://nij.ojp.gov/funding/opportunities/o-nij-2023-171662,CAL STATE LA UNIVERSITY AUXILIARY SERVICES INC,CA,15PNIJ-23-GG-02411-TITL,"$2,000,000",Open
2023,An Evaluability Assessment of the Not In Our Town Hate and Bias Action Teams Model,https://nij.ojp.gov/funding/awards/15pnij-23-gg-05492-mumu,NIJ FY23 Research and Evaluation on Hate Crimes,https://nij.ojp.gov/funding/opportunities/o-nij-2023-171634,"DEVELOPMENT SERVICES GROUP, INC",MD,15PNIJ-23-GG-05492-MUMU,"$686,997",Open
2023,An Examination of the Law Enforcement Role in Implementing Extreme Risk Protection Orders,https://nij.ojp.gov/funding/awards/15pnij-23-gg-02399-bsci,NIJ FY23 Research and Evaluation on Firearms Violence and Mass Shootings,https://nij.ojp.gov/funding/opportunities/o-nij-2023-171566,POLICE EXECUTIVE RESEARCH FORUM,DC,15PNIJ-23-GG-02399-BSCI,"$425,304",Open
2023,An Image Analysis Framework for Objective Color Interpretation of Seized Drug Tests,https://nij.ojp.gov/funding/awards/15pnij-23-gg-04210-slfo,NIJ FY23 Research and Development in Forensic Science for Criminal Justice Purposes,https://nij.ojp.gov/funding/opportunities/o-nij-2023-171606,RESEARCH TRIANGLE INSTITUTE,NC,15PNIJ-23-GG-04210-SLFO,"$392,196",Open
2023,Analytical Challenges with Proliferating THC Analogues,https://nij.ojp.gov/funding/awards/15pnij-23-gg-01421-coap,NIJ FY23 Research and Evaluation for the Testing and Interpretation of Physical Evidence in Publicly Funded Forensic Laboratories,https://nij.ojp.gov/funding/opportunities/o-nij-2023-171560,VIRGINIA COMMONWEALTH UNIVERSITY,VA,15PNIJ-23-GG-01421-COAP,"$726,360",Open
2023,Assessing Solvability Factors in Missing Person Cases: A Mixed-Method Approach,https://nij.ojp.gov/funding/awards/15pnij-23-gg-01941-ress,NIJ FY23 Graduate Research Fellowship,https://nij.ojp.gov/funding/opportunities/o-nij-2023-171521,BOARD OF REGENTS OF NEVADA SYSTEM OF HIGHER EDUCATION,NV,15PNIJ-23-GG-01941-RESS,"$110,998",Open
